Município;Butano;Propano;Gás Auto;Gasolina IO 95;Gasolina IO 98;Gasóleo Rodoviário;Gasóleo Colorido;Gasóleo Colorido p/ Aquecimento;Lubrificantes;Biodiesel;Grand Total
Porto;0;0;692,533;23371,5929;1074,783268;64135,56492;2639,02212;0;401,885;42,568;92357,94921
Porto de Mós;0;0;265,3;1422,426548;237,218202;9487,56564;0;0;117,079;0;11529,58939
Porto Moniz;0;0;0;124,005342;37,410464;331,57572;0;0;0;0;492,991526
Porto Santo;0;0;0;3,3197;0;5476,27836;0;0;0,122;0;5479,72006
Póvoa de Lanhoso;0;0;0,33;628,028306;151,820162;2970,95568;0;0;13,363;7,831;3772,328148
Póvoa de Varzim;0;0;331,426;5347,135532;292,000072;22263,7464;0;0;117,895;14,739;28366,942
Povoação;0;0;0;823,120734;34,44649;2413,85424;0;0;0;0;3271,421464
Proença-a-Nova;0;0;0;446,10054;32,175442;1864,26576;0;0;0,353;0;2342,894742
Redondo;0;0;0;365,07748;14,549938;1582,73556;0;0;1,749;0;1964,111978
Reguengos de Monsaraz;0;0;0;599,225992;37,107356;2347,29852;0;0;8,79;0;2992,421868
Resende;0;0;0,814;588,23965;91,103558;2035,09908;0;0;4,496;0;2719,752288
Ribeira Brava;0;0;0;837,86244;229,522878;6515,0274;0;0;58,175;0;7640,587718
Ribeira de Pena;0;0;0;198,897774;77,701208;1044,5442;0;0;2,93;0;1324,073182
Ribeira Grande;0;0;0;1775,105508;137,36372;3070,578;0;0;18,077;0;5001,124228
Rio Maior;0;0;94,128;1264,051494;184,245932;7149,8154;0;0;3,794;0;8696,034826
Sabrosa;0;0;0;248,01889;31,027854;1357,79616;0;0;0,944;2,7;1640,486904
Sabugal;0;0;14,718;602,33532;84,531694;2848,43244;0;0;2,403;0;3552,420454
Salvaterra de Magos;0;0;76,387;1146,916066;74,117446;6800,82564;0;0;13,58;0;8111,826152
Santa Comba Dão;0;0;25,976;570,505738;98,51764;3009,5058;0;0;0,279;0;3704,784178
Santa Cruz;0;3,897;0;4331,981716;723,97572;8233,76484;0;0;48,162;0;13341,78128
Santa Cruz da Graciosa;0;0;0;476,094962;4,524;730,61772;0;0;0;0;1211,236682
